latitude,longitude
-10.399999999999999,-41.5
-10.399999999999999,-41.25
-10.399999999999999,-41.0
-10.399999999999999,-40.75
-10.399999999999999,-40.5
-10.399999999999999,-40.25
-10.399999999999999,-40.0
-10.399999999999999,-39.75
-10.399999999999999,-39.5
-10.399999999999999,-39.25
-10.399999999999999,-39.0
-10.399999999999999,-38.75
-10.399999999999999,-38.5
-10.399999999999999,-38.25
-10.399999999999999,-38.0
-10.399999999999999,-37.75
-10.399999999999999,-37.5
-10.399999999999999,-37.25
-10.399999999999999,-37.0
-10.399999999999999,-36.75
-10.399999999999999,-36.5
-10.149999999999999,-45.0
-10.149999999999999,-44.75
-10.149999999999999,-44.5
-10.149999999999999,-44.25
-10.149999999999999,-44.0
-10.149999999999999,-43.75
-10.149999999999999,-43.5
-10.149999999999999,-43.25
-10.149999999999999,-43.0
-10.149999999999999,-42.75
-10.149999999999999,-42.5
-10.149999999999999,-42.25
-10.149999999999999,-42.0
-10.149999999999999,-41.75
-10.149999999999999,-41.5
-10.149999999999999,-41.25
-10.149999999999999,-41.0
-10.149999999999999,-40.75
-10.149999999999999,-40.5
-10.149999999999999,-40.25
-10.149999999999999,-40.0
-10.149999999999999,-39.75
-10.149999999999999,-39.5
-10.149999999999999,-39.25
-10.149999999999999,-39.0
-10.149999999999999,-38.75
-10.149999999999999,-38.5
-10.149999999999999,-38.25
-10.149999999999999,-38.0
-10.149999999999999,-37.75
-10.149999999999999,-37.5
-10.149999999999999,-37.25
-10.149999999999999,-37.0
-10.149999999999999,-36.75
-10.149999999999999,-36.5
-10.149999999999999,-36.25
-9.899999999999999,-45.0
-9.899999999999999,-44.75
-9.899999999999999,-44.5
-9.899999999999999,-44.25
-9.899999999999999,-44.0
-9.899999999999999,-43.75
-9.899999999999999,-43.5
-9.899999999999999,-43.25
-9.899999999999999,-43.0
-9.899999999999999,-42.75
-9.899999999999999,-42.5
-9.899999999999999,-42.25
-9.899999999999999,-42.0
-9.899999999999999,-41.75
-9.899999999999999,-41.5
-9.899999999999999,-41.25
-9.899999999999999,-41.0
-9.899999999999999,-40.75
-9.899999999999999,-40.5
-9.899999999999999,-40.25
-9.899999999999999,-40.0
-9.899999999999999,-39.75
-9.899999999999999,-39.5
-9.899999999999999,-39.25
-9.899999999999999,-39.0
-9.899999999999999,-38.75
-9.899999999999999,-38.5
-9.899999999999999,-38.25
-9.899999999999999,-38.0
-9.899999999999999,-37.75
-9.899999999999999,-37.5
-9.899999999999999,-37.25
-9.899999999999999,-37.0
-9.899999999999999,-36.75
-9.899999999999999,-36.5
-9.899999999999999,-36.25
-9.899999999999999,-36.0
-9.649999999999999,-45.0
-9.649999999999999,-44.75
-9.649999999999999,-44.5
-9.649999999999999,-44.25
-9.649999999999999,-44.0
-9.649999999999999,-43.75
-9.649999999999999,-43.5
-9.649999999999999,-43.25
-9.649999999999999,-43.0
-9.649999999999999,-42.75
-9.649999999999999,-42.5
-9.649999999999999,-42.25
-9.649999999999999,-42.0
-9.649999999999999,-41.75
-9.649999999999999,-41.5
-9.649999999999999,-41.25
-9.649999999999999,-41.0
-9.649999999999999,-40.75
-9.649999999999999,-40.5
-9.649999999999999,-40.25
-9.649999999999999,-40.0
-9.649999999999999,-39.75
-9.649999999999999,-39.5
-9.649999999999999,-39.25
-9.649999999999999,-39.0
-9.649999999999999,-38.75
-9.649999999999999,-38.5
-9.649999999999999,-38.25
-9.649999999999999,-38.0
-9.649999999999999,-37.75
-9.649999999999999,-37.5
-9.649999999999999,-37.25
-9.649999999999999,-37.0
-9.649999999999999,-36.75
-9.649999999999999,-36.5
-9.649999999999999,-36.25
-9.649999999999999,-36.0
-9.649999999999999,-35.75
-9.399999999999999,-45.0
-9.399999999999999,-44.75
-9.399999999999999,-44.5
-9.399999999999999,-44.25
-9.399999999999999,-44.0
-9.399999999999999,-43.75
-9.399999999999999,-43.5
-9.399999999999999,-43.25
-9.399999999999999,-43.0
-9.399999999999999,-42.75
-9.399999999999999,-42.5
-9.399999999999999,-42.25
-9.399999999999999,-42.0
-9.399999999999999,-41.75
-9.399999999999999,-41.5
-9.399999999999999,-41.25
-9.399999999999999,-41.0
-9.399999999999999,-40.75
-9.399999999999999,-40.5
-9.399999999999999,-40.25
-9.399999999999999,-40.0
-9.399999999999999,-39.75
-9.399999999999999,-39.5
-9.399999999999999,-39.25
-9.399999999999999,-39.0
-9.399999999999999,-38.75
-9.399999999999999,-38.5
-9.399999999999999,-38.25
-9.399999999999999,-38.0
-9.399999999999999,-37.75
-9.399999999999999,-37.5
-9.399999999999999,-37.25
-9.399999999999999,-37.0
-9.399999999999999,-36.75
-9.399999999999999,-36.5
-9.399999999999999,-36.25
-9.399999999999999,-36.0
-9.399999999999999,-35.75
-9.399999999999999,-35.5
-9.149999999999999,-45.0
-9.149999999999999,-44.75
-9.149999999999999,-44.5
-9.149999999999999,-44.25
-9.149999999999999,-44.0
-9.149999999999999,-43.75
-9.149999999999999,-43.5
-9.149999999999999,-43.25
-9.149999999999999,-43.0
-9.149999999999999,-42.75
-9.149999999999999,-42.5
-9.149999999999999,-42.25
-9.149999999999999,-42.0
-9.149999999999999,-41.75
-9.149999999999999,-41.5
-9.149999999999999,-41.25
-9.149999999999999,-41.0
-9.149999999999999,-40.75
-9.149999999999999,-40.5
-9.149999999999999,-40.25
-9.149999999999999,-40.0
-9.149999999999999,-39.75
-9.149999999999999,-39.5
-9.149999999999999,-39.25
